Time [s],Value,Parity Error,Framing Error
0.017168000000000,R,,
0.019438000000000,0,,
0.020892000000000,0,,
0.021962000000000,6,,
0.023006000000000,\r,,
0.066180000000000,R,,
0.068451000000000,0,,
0.069905000000000,0,,
0.070974000000000,6,,
0.072019000000000,\r,,
0.115190000000000,R,,
0.117460000000000,0,,
0.118914000000000,0,,
0.119984000000000,6,,
0.121028000000000,\r,,
0.164202000000000,R,,
0.166472000000000,0,,
0.167926000000000,0,,
0.168996000000000,6,,
0.170040000000000,\r,,
0.213214000000000,R,,
0.215484000000000,0,,
0.216938000000000,0,,
0.218008000000000,6,,
0.219052000000000,\r,,
0.262230000000000,R,,
0.264500000000000,0,,
0.265955000000000,0,,
0.267024000000000,6,,
0.268069000000000,\r,,
0.311247000000000,R,,
0.313517000000000,0,,
0.314972000000000,0,,
0.316041000000000,6,,
0.317086000000000,\r,,
0.360263000000000,R,,
0.362533000000000,0,,
0.363987000000000,0,,
0.365057000000000,6,,
0.366101000000000,\r,,
0.409279000000000,R,,
0.411549000000000,0,,
0.413004000000000,0,,
0.414073000000000,6,,
0.415118000000000,\r,,
0.458295000000000,R,,
0.460565000000000,0,,
0.462019000000000,0,,
0.463089000000000,6,,
0.464133000000000,\r,,
0.507311000000000,R,,
0.509581000000000,0,,
0.511036000000000,0,,
0.512105000000000,6,,
0.513150000000000,\r,,
0.556319000000000,R,,
0.558589000000000,0,,
0.560043000000000,0,,
0.561112000000000,6,,
0.562157000000000,\r,,
0.605336000000000,R,,
0.607606000000000,0,,
0.609061000000000,0,,
0.610130000000000,6,,
0.611174000000000,\r,,
0.654343000000000,R,,
0.656613000000000,0,,
0.658068000000000,0,,
0.659137000000000,6,,
0.660181000000000,\r,,
0.703353000000000,R,,
0.705623000000000,0,,
0.707077000000000,0,,
0.708146000000000,6,,
0.709191000000000,\r,,
0.752368000000000,R,,
0.754638000000000,0,,
0.756093000000000,0,,
0.757162000000000,6,,
0.758206000000000,\r,,
0.801387000000000,R,,
0.803657000000000,0,,
0.805112000000000,0,,
0.806181000000000,6,,
0.807225000000000,\r,,
0.850406000000000,R,,
0.852676000000000,0,,
0.854131000000000,0,,
0.855200000000000,6,,
0.856244000000000,\r,,
0.899427000000000,R,,
0.901698000000000,0,,
0.903152000000000,0,,
0.904221000000000,6,,
0.905266000000000,\r,,
0.948438000000000,R,,
0.950708000000000,0,,
0.952162000000000,0,,
0.953231000000000,6,,
0.954276000000000,\r,,
0.997455000000000,R,,
0.999725000000000,0,,
1.001179000000000,0,,
1.002248000000000,6,,
1.003293000000000,\r,,
1.046471000000000,R,,
1.048741000000000,0,,
1.050195000000000,0,,
1.051264000000000,6,,
1.052309000000000,\r,,
1.095481000000000,R,,
1.097752000000000,0,,
1.099206000000000,0,,
1.100275000000000,6,,
1.101320000000000,\r,,
1.144494000000000,R,,
1.146764000000000,0,,
1.148218000000000,0,,
1.149288000000000,6,,
1.150332000000000,\r,,
1.193512000000000,R,,
1.195783000000000,0,,
1.197237000000000,0,,
1.198307000000000,6,,
1.199351000000000,\r,,
1.242528000000000,R,,
1.244799000000000,0,,
1.246253000000000,0,,
1.247322000000000,6,,
1.248367000000000,\r,,
1.291549000000000,R,,
1.293819000000000,0,,
1.295274000000000,0,,
1.296343000000000,6,,
1.297388000000000,\r,,
1.340566000000000,R,,
1.342836000000000,0,,
1.344291000000000,0,,
1.345360000000000,6,,
1.346405000000000,\r,,
1.389584000000000,R,,
1.391855000000000,0,,
1.393309000000000,0,,
1.394379000000000,6,,
1.395423000000000,\r,,
1.438603000000000,R,,
1.440873000000000,0,,
1.442328000000000,0,,
1.443397000000000,6,,
1.444442000000000,\r,,
1.487624000000000,R,,
1.489894000000000,0,,
1.491349000000000,0,,
1.492418000000000,6,,
1.493463000000000,\r,,
1.536637000000000,R,,
1.538908000000000,0,,
1.540362000000000,0,,
1.541431000000000,6,,
1.542476000000000,\r,,
1.585656000000000,R,,
1.587927000000000,0,,
1.589381000000000,0,,
1.590450000000000,6,,
1.591495000000000,\r,,
1.634673000000000,R,,
1.636944000000000,0,,
1.638398000000000,0,,
1.639468000000000,6,,
1.640512000000000,\r,,
1.683694000000000,R,,
1.685964000000000,0,,
1.687419000000000,0,,
1.688488000000000,6,,
1.689533000000000,\r,,
1.732708000000000,R,,
1.734978000000000,0,,
1.736433000000000,0,,
1.737502000000000,6,,
1.738547000000000,\r,,
1.781723000000000,R,,
1.783994000000000,0,,
1.785448000000000,0,,
1.786518000000000,6,,
1.787562000000000,\r,,
1.830739000000000,R,,
1.833009000000000,0,,
1.834463000000000,0,,
1.835533000000000,6,,
1.836577000000000,\r,,
1.879759000000000,R,,
1.882030000000000,0,,
1.883484000000000,0,,
1.884554000000000,6,,
1.885598000000000,\r,,
1.928783000000000,R,,
1.931053000000000,0,,
1.932508000000000,0,,
1.933577000000000,6,,
1.934622000000000,\r,,
1.977796000000000,R,,
1.980067000000000,0,,
1.981521000000000,0,,
1.982590000000000,6,,
1.983635000000000,\r,,
2.026814000000000,R,,
2.029084000000000,0,,
2.030539000000000,0,,
2.031608000000000,6,,
2.032653000000000,\r,,
2.075833000000000,R,,
2.078103000000000,0,,
2.079558000000000,0,,
2.080627000000000,6,,
2.081672000000000,\r,,
2.124851000000000,R,,
2.127121000000000,0,,
2.128576000000000,0,,
2.129645000000000,6,,
2.130690000000000,\r,,
2.173865000000000,R,,
2.176135000000000,0,,
2.177590000000000,0,,
2.178659000000000,6,,
2.179704000000000,\r,,
2.222881000000000,R,,
2.225151000000000,0,,
2.226606000000000,0,,
2.227675000000000,6,,
2.228720000000000,\r,,
2.271896000000000,R,,
2.274166000000000,0,,
2.275621000000000,0,,
2.276690000000000,6,,
2.277735000000000,\r,,
2.320915000000000,R,,
2.323186000000000,0,,
2.324640000000000,0,,
2.325709000000000,6,,
2.326754000000000,\r,,
2.369934000000000,R,,
2.372204000000000,0,,
2.373659000000000,0,,
2.374728000000000,6,,
2.375772000000000,\r,,
2.418950000000000,R,,
2.421221000000000,0,,
2.422675000000000,0,,
2.423744000000000,6,,
2.424789000000000,\r,,
2.467969000000000,R,,
2.470239000000000,0,,
2.471693000000000,0,,
2.472763000000000,6,,
2.473807000000000,\r,,
2.516989000000000,R,,
2.519259000000000,0,,
2.520714000000000,0,,
2.521783000000000,6,,
2.522828000000000,\r,,
